DATE,PARTY NAME,TYPE,GM,NECK,Quantity
24/06/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,54
24/06/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,220
24/06/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,360
24/06/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,40
24/06/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,18
26/06/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,18.5,ALASKA,216
26/06/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,13.6,ALASKA,108
26/06/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,9.2,ALASKA,216
28/06/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,540
28/06/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,360
28/06/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,10
01/07/2019,DIAMOND BEVERAGES,PET PREFORM,13.6,ALASKA,10
01/07/2019,DIAMOND BEVERAGES,PET PREFORM,9.2,ALASKA,10
01/07/2019,DIAMOND BEVERAGES,PET PREFORM,18.5,ALASKA,10
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,18.5,ALASKA,108
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,13.6,ALASKA,108
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,9.2,ALASKA,108
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,9.2,ALASKA,162
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,13.6,ALASKA,108
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,18.5,ALASKA,108
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,9.2,ALASKA,162
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,13.6,ALASKA,108
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,18.5,ALASKA,108
03/07/2019,DIAMOND BEVERAGES,PET PREFORM,9.2,ALASKA,270
03/07/2019,DIAMOND BEVERAGES,PET PREFORM,13.6,ALASKA,10
03/07/2019,DIAMOND BEVERAGES,PET PREFORM,18.5,ALASKA,108
03/07/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,360
03/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,360
03/07/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,540
05/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,18.5,ALASKA,270
05/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,9.2,ALASKA,144
05/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,13.6,ALASKA,144
05/07/2019,BALAJI INDUSTRIES,PET PREFORM,9.2,ALASKA,10
08/07/2019,BALAJI INDUSTRIES,PET PREFORM,9.2,ALASKA,216
08/07/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,396
08/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,9.2,ALASKA,144
08/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,18.5,ALASKA,288
08/07/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,198
08/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,486
08/07/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,396
10/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,360
10/07/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,450
11/07/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,360
13/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,450
15/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,450
15/07/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,540
15/07/2019,BALAJI INDUSTRIES,PET PREFORM,13.6,ALASKA,270
17/07/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,400
17/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,450
18/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,18.5,ALASKA,600
18/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,13.6,ALASKA,360
18/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,9.2,ALASKA,540
18/07/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,600
18/07/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,540
18/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,288
20/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500
22/07/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,450
22/07/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,450
22/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500
23/07/2019,BALAJI INDUSTRIES,PET PREFORM,9.2,ALASKA,450
23/07/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,400
24/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,9.2,ALASKA,270
24/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,18.5,ALASKA,630
27/07/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,470
28/07/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,400
28/07/2019,BALAJI INDUSTRIES,PET PREFORM,13.6,ALASKA,400
28/07/2019,BALAJI INDUSTRIES,PET PREFORM,9.2,ALASKA,200
29/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,9.2,ALASKA,200
29/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,13.6,ALASKA,300
29/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,18.5,ALASKA,500
30/07/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,500
30/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500
01/08/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500
01/08/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,400
01/08/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,10
02/08/2019,MARUTI ENTERPRISES,PET PREFORM,13.6,ALASKA,200
02/08/2019,MARUTI ENTERPRISES,PET PREFORM,18.5,ALASKA,100
02/08/2019,MARUTI ENTERPRISES,PET PREFORM,9.2,ALASKA,100
05/08/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500
05/08/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,500
05/08/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,500
05/08/2019,BALAJI INDUSTRIES,PET PREFORM,13.6,ALASKA,200
06/08/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500
06/08/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,18.5,ALASKA,760
08/08/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,500
08/08/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500
08/08/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,300
08/08/2019,MARUTI ENTERPRISES,PET PREFORM,13.6,ALASKA,200
09/08/2019,SKM PET BLOWERS,PET PREFORM,13.6,ALASKA,200
09/08/2019,SKM PET BLOWERS,PET PREFORM,18.5,ALASKA,60
09/08/2019,SKM PET BLOWERS,PET PREFORM,9.2,ALASKA,100
09/08/2019,NOESIS BUSINESS,PET PREFORM,9.2,ALASKA,20
10/08/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,740
10/08/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,260
10/08/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,270
12/08/2019,AGRAWAL AQWA PRODUCTS,PET PREFORM,9.2,ALASKA,200
13/08/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,600
13/08/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,600
14/08/2019,SKM PET BLOWERS,PET PREFORM,13.6,ALASKA,200
19/08/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500
19/08/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,300
19/08/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,270
19/08/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,100
19/08/2019,SKM PET BLOWERS,PET PREFORM,18.5,ALASKA,200
21/08/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,1000
22/08/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500
22/08/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,200
22/08/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,18.5,ALASKA,300
22/08/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,13.6,ALASKA,200
22/08/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,9.2,ALASKA,200
23/08/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,500
25/08/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,500
25/08/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,400
25/08/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,270
27/08/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500
27/08/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,300
29/08/2019,MARUTI ENTERPRISES,PET PREFORM,13.6,ALASKA,200
29/08/2019,MARUTI ENTERPRISES,PET PREFORM,18.5,ALASKA,100
29/08/2019,MARUTI ENTERPRISES,PET PREFORM,9.2,ALASKA,100
29/08/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500
29/08/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,300
30/08/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500
30/08/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,500
31/08/2019,SKM PET BLOWERS,PET PREFORM,13.6,ALASKA,400
02/09/2019,SKM PET BLOWERS,PET PREFORM,13.6,ALASKA,200
02/09/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500
02/09/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,200
05/09/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500
05/09/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,500
05/09/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,198
07/09/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,300
07/09/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,300
07/09/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,300
07/09/2019,NOESIS BUSINESS,PET PREFORM,9.2,ALASKA,200
07/09/2019,NOESIS BUSINESS,PET PREFORM,18.5,ALASKA,60
10/09/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500
10/09/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,500
12/09/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500
12/09/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,300
13/09/2019,SKM PET BLOWERS,PET PREFORM,13.6,ALASKA,400
14/09/2019,AGRAWAL AQWA PRODUCTS,PET PREFORM,18.5,ALASKA,100
14/09/2019,AGRAWAL AQWA PRODUCTS,PET PREFORM,9.2,ALASKA,100
14/09/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,400
14/09/2019,AL SHIFA PLAST   KJ,PET PREFORM,18.5,ALASKA,400
14/09/2019,AL SHIFA PLAST   KJ,PET PREFORM,9.2,ALASKA,400
16/09/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,600
16/09/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,400
