DATE,PARTY NAME,TYPE,GM,NECK,Quantity,GROSS AMOUNT TRADE DIS.
24/06/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,54,(ALASKA) 9.2 GMs               54 KGs
24/06/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,220,(ALASKA) 13.6 GMs             220 KGs
24/06/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,360,(ALASKA) 9.2 GMs              360 KGs
24/06/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,40,(ALASKA) 13.6 GMs              40 KGs
24/06/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,18,(ALASKA) 18.5 GMs              18 KGs
26/06/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,18.5,ALASKA,216,(ALASKA) 18.5 GMs             216 KGs
26/06/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,13.6,ALASKA,108,(ALASKA) 13.6 GMs             108 KGs
26/06/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,9.2,ALASKA,216,(ALASKA) 9.2 GMs              216 KGs
28/06/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,540,(ALASKA) 18.5 GMs             540 KGs
28/06/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,360,(ALASKA) 13.6 GMs             360 KGs
28/06/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,10,(ALASKA) 9.2 GMs              10 KGs
01/07/2019,DIAMOND BEVERAGES,PET PREFORM,13.6,ALASKA,10,(ALASKA) 13.6 GMs             10 KGs
01/07/2019,DIAMOND BEVERAGES,PET PREFORM,9.2,ALASKA,10,(ALASKA) 9.2 GMs              10 KGs
01/07/2019,DIAMOND BEVERAGES,PET PREFORM,18.5,ALASKA,10,(ALASKA) 18.5 GMs             10 KGs
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,18.5,ALASKA,108,(ALASKA) 18.5 GMs             108 KGs
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,13.6,ALASKA,108,(ALASKA) 13.6 GMs             108 KGs
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,9.2,ALASKA,108,(ALASKA) 9.2 GMs              108 KGs
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,9.2,ALASKA,162,(ALASKA) 9.2 GMs              162 KGs
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,13.6,ALASKA,108,(ALASKA) 13.6 GMs             108 KGs
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,18.5,ALASKA,108,(ALASKA) 18.5 GMs             108 KGs
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,9.2,ALASKA,162,(ALASKA) 9.2 GMs              162 KGs
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,13.6,ALASKA,108,(ALASKA) 13.6 GMs             108 KGs
03/07/2019,MARUTI ENTERPRISES,PET PREFORM,18.5,ALASKA,108,(ALASKA) 18.5 GMs             108 KGs
03/07/2019,DIAMOND BEVERAGES,PET PREFORM,9.2,ALASKA,270,(ALASKA) 9.2 GMs              270 KGs
03/07/2019,DIAMOND BEVERAGES,PET PREFORM,13.6,ALASKA,10,(ALASKA) 13.6 GMs             10 KGs
03/07/2019,DIAMOND BEVERAGES,PET PREFORM,18.5,ALASKA,108,(ALASKA) 18.5 GMs             108 KGs
03/07/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,360,(ALASKA) 9.2 GMs              360 KGs
03/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,360,(ALASKA) 13.6 GMs             360 KGs
03/07/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,540,(ALASKA) 18.5 GMs             540 KGs
05/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,18.5,ALASKA,270,(ALASKA) 18.5 GMs             270 KGs
05/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,9.2,ALASKA,144,(ALASKA) 9.2 GMs              144 KGs
05/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,13.6,ALASKA,144,(ALASKA) 13.6 GMs             144 KGs
05/07/2019,BALAJI INDUSTRIES,PET PREFORM,9.2,ALASKA,10,(ALASKA) 9.2 GMs              10 KGs
08/07/2019,BALAJI INDUSTRIES,PET PREFORM,9.2,ALASKA,216,(ALASKA) 9.2 GMs              216 KGs
08/07/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,396,(ALASKA) 18.5 GMs             396 KGs
08/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,9.2,ALASKA,144,(ALASKA) 9.2 GMs              144 KGs
08/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,18.5,ALASKA,288,(ALASKA) 18.5 GMs             288 KGs
08/07/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,198,(ALASKA) 9.2 GMs              198 KGs
08/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,486,(ALASKA) 13.6 GMs             486 KGs
08/07/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,396,(ALASKA) 18.5 GMs             396 KGs
10/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,360,(ALASKA) 13.6 GMs             360 KGs
10/07/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,450,(ALASKA) 18.5 GMs             450 KGs
11/07/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,360,(ALASKA) 18.5 GMs             360 KGs
13/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,450,(ALASKA) 13.6 GMs             450 KGs
15/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,450,(ALASKA) 13.6 GMs             450 KGs
15/07/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,540,(ALASKA) 18.5 GMs             540 KGs
15/07/2019,BALAJI INDUSTRIES,PET PREFORM,13.6,ALASKA,270,(ALASKA) 13.6 GMs             270 KGs
17/07/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,400,(ALASKA) 18.5 GMs             400 KGs
17/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,450,(ALASKA) 13.6 GMs             450 KGs
18/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,18.5,ALASKA,600,(ALASKA) 18.5 GMs             600 KGs
18/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,13.6,ALASKA,360,(ALASKA) 13.6 GMs             360 KGs
18/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,9.2,ALASKA,540,(ALASKA) 9.2 GMs              540 KGs
18/07/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,600,(ALASKA) 18.5 GMs             600 KGs
18/07/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,540,(ALASKA) 18.5 GMs             540 KGs
18/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,288,(ALASKA) 13.6 GMs             288 KGs
20/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500,(ALASKA) 13.6 GMs             500 KGs
22/07/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,450,(ALASKA) 18.5 GMs             450 KGs
22/07/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,450,(ALASKA) 9.2 GMs              450 KGs
22/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500,(ALASKA) 13.6 GMs             500 KGs
23/07/2019,BALAJI INDUSTRIES,PET PREFORM,9.2,ALASKA,450,(ALASKA) 9.2 GMs              450 KGs
23/07/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,400,(ALASKA) 18.5 GMs             400 KGs
24/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,9.2,ALASKA,270,(ALASKA) 9.2 GMs              270 KGs
24/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,18.5,ALASKA,630,(ALASKA) 18.5 GMs             630 KGs
27/07/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,470,(ALASKA) 18.5 GMs             470 KGs
28/07/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,400,(ALASKA) 18.5 GMs             400 KGs
28/07/2019,BALAJI INDUSTRIES,PET PREFORM,13.6,ALASKA,400,(ALASKA) 13.6 GMs             400 KGs
28/07/2019,BALAJI INDUSTRIES,PET PREFORM,9.2,ALASKA,200,(ALASKA) 9.2 GMs              200 KGs
29/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,9.2,ALASKA,200,(ALASKA) 9.2 GMs              200 KGs
29/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,13.6,ALASKA,300,(ALASKA) 13.6 GMs             300 KGs
29/07/2019,SAI SAMARTH FOOD PVT. LTD.,PET PREFORM,18.5,ALASKA,500,(ALASKA) 18.5 GMs             500 KGs
30/07/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,500,(ALASKA) 18.5 GMs             500 KGs
30/07/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500,(ALASKA) 13.6 GMs             500 KGs
01/08/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500,(ALASKA) 13.6 GMs             500 KGs
01/08/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,400,(ALASKA) 18.5 GMs             400 KGs
01/08/2019,M P AQUATECH,PET PREFORM,9.2,ALASKA,10,(ALASKA) 9.2 GMs              10 KGs
02/08/2019,MARUTI ENTERPRISES,PET PREFORM,13.6,ALASKA,200,(ALASKA) 13.6 GMs             200 KGs
02/08/2019,MARUTI ENTERPRISES,PET PREFORM,18.5,ALASKA,100,(ALASKA) 18.5 GMs             100 KGs
02/08/2019,MARUTI ENTERPRISES,PET PREFORM,9.2,ALASKA,100,(ALASKA) 9.2 GMs              100 KGs
05/08/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500,(ALASKA) 13.6 GMs             500 KGs
05/08/2019,M P AQUATECH,PET PREFORM,18.5,ALASKA,500,(ALASKA) 18.5 GMs             500 KGs
05/08/2019,BALAJI INDUSTRIES,PET PREFORM,18.5,ALASKA,500,(ALASKA) 18.5 GMs             500 KGs
05/08/2019,BALAJI INDUSTRIES,PET PREFORM,13.6,ALASKA,200,(ALASKA) 13.6 GMs             200 KGs
06/08/2019,M P AQUATECH,PET PREFORM,13.6,ALASKA,500,(ALASKA) 13.6 GMs             500 KGs
